table_name,field_name,language,translation,record_id,field_value
stops,stop_name,sv,Tiipilävägen,1133,
stops,stop_name,sv,Regionhuset,1169,
stops,stop_name,sv,Käpälämäki,1256,
stops,stop_name,sv,Sjömanskyrka,754,
stops,stop_name,sv,Wärtsilägränden,78,
stops,stop_name,sv,Utåkersvägen,1775,
stops,stop_name,sv,Kardinalgatan,1627,
stops,stop_name,sv,Peltola,1455,
stops,stop_name,sv,Elinavägen,285,
stops,stop_name,sv,Laustis skola,1503,
stops,stop_name,sv,Becktranevägen,1484,
stops,stop_name,sv,Suoniemi,1401,
stops,stop_name,sv,Kittuis färjestrand N,8311,
stops,stop_name,sv,Piskgränden,655,
stops,stop_name,sv,Terrängvägen,224,
stops,stop_name,sv,C. O. Malms skola,1190,
stops,stop_name,sv,Vitkalagatan,682,
stops,stop_name,sv,Lemppälävägen,1246,
stops,stop_name,sv,Havregatan,505,
stops,stop_name,sv,ÅUCS A-sjukhuset,1030,
